Game,name,release,categories,genres,tags,playtime
336130,Shardlight,2016,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;RPG,Adventure;Female Protagonist;Indie,67
336140,Unavowed,2018,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie;RPG,Adventure;Indie;Point & Click,0
336150,Virtual Pool 4,2015,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards,Sports,Sports;Simulation;Pool,0
336160,Monsters!,2016,Single-player;Full controller support,Action;Indie,Action;Indie;Twin Stick Shooter,0
336200,Starlaxis Supernova Edition,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie;Strategy,Strategy;Action;Indie,146
336210,Just Death,2016,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Early Access,Early Access;Action;Indie,0
336220,ORBITOR,2015,Single-player;Partial Controller Support,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,0
336230,Way to Go!,2015,Single-player,Indie,Indie;Puzzle,0
336240,Typoman,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;2D;Word Game,0
336280,Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete,2014,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie;RPG,Indie;RPG;Great Soundtrack,202
336300,Hearthlands,2017,Single-player;Steam Achievements,Indie;Simulation;Strategy,Strategy;City Builder;Simulation,0
336380,Catmouth Island,2014,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,565
336420,Bloodsports.TV,2015,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Action;Indie;Strategy,104
336440,Super Cane Magic ZERO,2015,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie;RPG;Early Access,Early Access;Action;RPG,0
336520,Might & Magic Heroes Online,2015,Single-player;Multi-player;MMO;Co-op;Steam Trading Cards,Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;Massively Multiplayer,228
336530,PD Howler 9.6 Digital Painter and Visual FX box,2015,Includes Source SDK,Animation & Modeling;Design & Illustration;Photo Editing;Software Training;Utilities;Video Production,Design & Illustration;Photo Editing;Utilities,0
336610,Outcast 1.1,2014,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Adventure;RPG,Adventure;Action;Classic,0
336630,Crash And Burn Racing,2014,Single-player;Full controller support,Indie;Racing,Racing;Indie,0
336670,HIT,2015,Multi-player;Co-op;Partial Controller Support,Free to Play,Free to Play;Multiplayer;Funny,5
336680,TREBUCHET,2015,Single-player;Multi-player,Casual;Indie;Sports;Strategy,Strategy;Indie;Casual,0
336700,Elastrix,2014,Single-player;Steam Achievements;Steam Leaderboards,Casual;Indie,Casual;Indie;Puzzle,0
336710,Supreme League of Patriots - Episode 2: Patriot Frames,2015,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0
336730,Supreme League of Patriots - Episode 3: Ice Cold in Ellis,2015,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Adventure;Indie,Adventure;Indie;Superhero,0
336760,Pilot Brothers,2014,Single-player,Adventure;Casual,Adventure;Casual;Point & Click,0
336770,Pilot Brothers 2,2014,Single-player,Adventure;Casual,Adventure;Casual;Point & Click,0
336780,Pilot Brothers 3: Back Side of the Earth,2015,Single-player,Adventure;Casual,Adventure;Casual;Point & Click,0
336840,Color Guardians,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Family Friendly,0
336930,Redux: Dark Matters,2014,Single-player;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Shoot 'Em Up,0
336940,Basingstoke,2018,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Adventure;Indie,Action;Indie;Adventure,0
337000,Deus Ex: Mankind Divided,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,Cyberpunk;Stealth;Action,798
337040,Deadnaut,2014,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Strategy,Strategy;Indie;RPG,489
337070,"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",2015,Steam Achievements,Utilities,Utilities,0
337130,Bosch's Damnation,2015,Single-player;Steam Achievements,Adventure,Adventure;Point & Click,0
337150,Sentinels of the Multiverse,2014,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy,Card Game;Board Game;Superhero,186
337180,Velocity 2X,2015,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action,Action;Shoot 'Em Up;Female Protagonist,346
337210,Royal Bounty HD,2015,Single-player;Steam Achievements;Steam Trading Cards;Stats,Adventure;Indie;RPG;Strategy,Strategy;RPG;Indie,0
337220,Guild Commander,2015,Single-player;Steam Achievements,Indie;Simulation;Strategy,Simulation;Strategy;Indie,0
337270,Ostrich Island,2015,Single-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards,Adventure;Casual;Indie;RPG,Adventure;Casual;Indie,286
337280,Planetship,2015,Single-player;Steam Achievements;Full controller support,Action;Adventure;Indie,Action;Adventure;Indie,0
337290,Still Not Dead,2018,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Action;Indie;Pixel Graphics,157
337320,Paint the Town Red,2015,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support;Steam Workshop;Steam Leaderboards;Includes level editor,Action;Indie;Early Access,Early Access;Action;Gore,554
337340,Finding Paradise,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Story Rich;Great Soundtrack;Pixel Graphics,166
337350,Flywrench,2015,Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Casual;Indie,Action;Indie;Casual,0
337360,Dead Island Retro Revenge,2016,Single-player;Steam Achievements;Full controller support,Action,Action;Zombies;Retro,339
337410,Karos,2014,Multi-player;MMO;Commentary available,Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,1
337420,Final Dusk,2014,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Anime;Indie;Casual,386
337450,Dream Tale,2014,Single-player,Casual;Indie,Indie;Casual;Platformer,0
337480,Zombie Vikings,2015,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Adventure;Local Co-Op,0
337490,Four Sided Fantasy,2016,Single-player;Steam Achievements;Partial Controller Support,Indie,Indie;Puzzle-Platformer;Platformer,0
337630,Bermuda,2015,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Visual Novel,283
337650,Soft Body,2016,Single-player;Full controller support,Action;Indie,Action;Puzzle;Indie,0
337670,Default Dan,2015,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Indie;Action,0
337680,Star Hammer: The Vanguard Prophecy,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Simulation;Strategy,Strategy;Adventure;Space,0
337700,SCS deORBIT,2015,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0
337720,The Sea Will Claim Everything,2016,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0
337730,Battletank LOBA,2015,Single-player;Shared/Split Screen;Steam Trading Cards;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0
337760,Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,2015,Single-player;Multi-player,Simulation;Strategy,Strategy;Simulation;World War II,0
337820,The Mims Beginning,2016,Single-player;Steam Achievements;Captions available,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0
337850,Avernum 2: Crystal Souls,2015,Single-player;Steam Achievements;Steam Cloud;Stats,Adventure;Indie;RPG;Strategy,RPG;Strategy;Indie,0
337880,One Late Night: Deadline,2014,Single-player;Partial Controller Support,Adventure;Indie;Simulation,Indie;Adventure;Simulation,0
337890,Dysfunctional Systems: Orientation,2017,Single-player;Partial Controller Support,Casual;Indie,Indie;Casual;Visual Novel,0
337930,Nameless ~The one thing you must recall~,2014,Single-player;Steam Trading Cards;Steam Cloud,Simulation,Otome;Dating Sim;Visual Novel,0
337940,X-note,2015,Single-player;Steam Trading Cards,Adventure;Casual;Indie;Simulation,Visual Novel;Anime;Adventure,1084
337950,The SKIES,2016,Multi-player;MMO;Steam Achievements;In-App Purchases;Steam Leaderboards,Free to Play;Massively Multiplayer;RPG;Early Access,Early Access;Free to Play;Survival,51
337960,ClusterPuck 99,2015,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Indie;Sports,Sports;Indie;Local Multiplayer,0
337970,Wildlife Park - Wild Creatures,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Simulation;Strategy,Strategy;Simulation;Indie,0
337980,Vagrant Hearts,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Adventure,0
338030,Mission Control: NanoMech,2014,Single-player,Action;Adventure;RPG;Early Access,Early Access;Action;Adventure,0
338040,Bears Can't Drift!?,2016,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Indie;Racing,Racing;Indie;4 Player Local,0
338050,Anoxemia,2015,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Adventure;Casual;Indie,Indie;Adventure;Casual,274
338060,Mahjong Pretty Girls Battle,2015,Single-player;Steam Trading Cards,Casual,Anime;Casual;Board Game,294
338070,ルナティックドーン レジェンドパック,2015,Single-player,RPG,RPG,0
338080,A列車で行こう8,2015,Single-player,Simulation,Simulation,0
338090,ATLAS レジェンドパック,2015,Single-player,Simulation,Simulation,0
338100,栄冠は君に レジェンドパック,2015,Single-player,Simulation,Simulation,0
338110,Khaba,2015,Single-player;Captions available,Adventure;Casual,Casual;Adventure;Puzzle,0
338120,Marble Duel,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,200
338130,Strategy & Tactics: Wargame Collection,2016,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards,Strategy,Strategy;War;Tactical,0
338140,Venetica - Gold Edition,2015,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;RPG,RPG;Action;Adventure,39
338170,Ratz Instagib,2016,Multi-player;Steam Achievements;Steam Workshop;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Indie;FPS;Action,85
338180,Batla,2015,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Action;Free to Play,Free to Play;FPS;Multiplayer,135
338190,Just Get Through,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Casual;Indie;Racing,Indie;Casual;Action,0
338260,Usagi Yojimbo: Way of the Ronin,2015,Single-player;Partial Controller Support,Action;Indie,Action;Indie;Comic Book,0
338290,Molecats,2018,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie,Casual;Indie;Puzzle,0
338300,Disney's Chicken Little: Ace in Action,2015,Single-player;Shared/Split Screen;Partial Controller Support;Steam Cloud,Action;Adventure,Action;Adventure;World War II,0
338310,Warden: Melody of the Undergrowth,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,Action;Adventure;Indie;RPG,Action;Adventure;RPG,0
338320,Pixel Heroes: Byte & Magic,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,RPG;Indie;Adventure,1027
338330,Super Treasure Arena,2018,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Pixel Graphics,0
338350,Farm World,2017,Single-player;Steam Cloud,Casual;Indie;Simulation;Strategy,Indie;Casual;Strategy,0
338390,The Technomancer,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;Action;Sci-fi,67
338530,Trouble In The Manor,2015,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Action;Casual;Indie,Casual;Action;Indie,268
338540,Navy Field 2 : Conqueror of the Ocean,2015,Multi-player;MMO;Steam Trading Cards,Action;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,Free to Play;Naval;Strategy,39
338550,Terra Lander,2015,Single-player;Partial Controller Support,Casual;Indie,Indie;Casual;Arcade,0
338590,The Race for the White House,2015,Single-player;Multi-player,Indie;Simulation;Strategy,Indie;Strategy;Simulation,0
338630,Wildlife Camp,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Simulation,Simulation;Indie;Casual,0
338760,Death Ray Manta SE,2015,Single-player;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Twin Stick Shooter,0
338800,Seven Kingdoms 2 HD,2015,Single-player;Multi-player,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0
338810,Demise of Nations,2017,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Stats;Includes level editor,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,0
338830,Star Nomad,2014,Single-player;Steam Achievements;Steam Cloud,Indie;RPG;Strategy,Indie;Strategy;RPG,0
338890,Harold,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Racing,Action;Indie;Racing,0
338960,Rescue Team,2015,Single-player;Steam Trading Cards,Casual;Simulation;Strategy,Strategy;Casual;Simulation,0
338980,MOAI: Build Your Dream,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Simulation;Strategy,Casual;Strategy;Simulation,0
339000,Ukrainian Ninja,2014,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,55
339040,Disney's Chicken Little,2015,Single-player;Partial Controller Support;Steam Cloud,Action;Adventure,Adventure;Action;Anime,0
339090,Pig Eat Ball,2018,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Adventure;Indie,Indie;Adventure;Arcade,0
339110,Plith,2016,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Puzzle,177
339120,Fork Parker's Holiday Profit Hike,2014,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Free to Play;Indie,Free to Play;Platformer;Action,14
339130,Morningstar: Descent to Deadrock,2015,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Sci-fi,0
339160,Tales of the Orient: The Rising Sun,2015,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Casual;Indie,Casual;Indie;Match 3,359
339190,Dead Synchronicity: Tomorrow Comes Today,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0
339200,Oceanhorn: Monster of Uncharted Seas,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,Adventure;RPG;Action,140
339210,RESCUE 2: Everyday Heroes,2015,Single-player;Steam Achievements;Steam Trading Cards,Simulation;Strategy,Strategy;Simulation;RTS,0
339230,ZOMBI,2015,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure,Zombies;Survival;Action,145
339240,10 Years After,2015,Single-player;Partial Controller Support,Action;Adventure;Indie;Early Access,Early Access;Adventure;Action,0
339250,Winged Sakura: Endless Dream,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;RPG;Strategy,Action;Strategy;RPG,0
339280,Strife®,2015,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Stats,Action;Free to Play;RPG;Strategy,Free to Play;MOBA;Multiplayer,150
339290,Castle,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Indie;Action,174
339320,Snake Blocks,2015,Single-player;Includes level editor,Casual;Indie,Casual;Indie;Puzzle,26
339340,Resident Evil 0 / biohazard 0 HD REMASTER,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Horror;Zombies;Survival Horror,132
339350,Choice of Robots,2014,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;RPG,Choose Your Own Adventure;Text-Based;Choices Matter,0
339400,Runestone Keeper,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;RPG;Strategy,Strategy;RPG;Casual,644
339440,Critical Annihilation,2016,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,0
339470,Retention,2015,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Indie;Casual;Adventure,187
339500,Blasted Fortress,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Includes level editor,Action;Casual;Indie,Casual;Indie;Action,0
339510,Psy High,2014,Steam Achievements;Captions available;Steam Cloud,Indie;RPG,RPG;Indie;Text-Based,0
339560,Man Alive,2015,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Casual;Indie;Early Access,Early Access;Indie;Casual,0
339570,Enemy,2015,Single-player;Steam Achievements;Steam Trading Cards;Includes level editor,Indie;RPG;Strategy,Strategy;RPG;Indie,0
339580,Ember,2016,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG;Strategy,Adventure;RPG;Indie,0
339590,Crowman & Wolfboy,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Indie;Action;Adventure,0
339600,VEGA Conflict,2015,Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements,Free to Play;Massively Multiplayer;Strategy,Free to Play;Space;Strategy,5448
339610,Freestyle 2: Street Basketball,2015,Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;Partial Controller Support,Action;Casual;Free to Play;Massively Multiplayer;Sports,Free to Play;Basketball;Sports,1571
339690,Paperbound,2015,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor,Action;Indie,Indie;Action;2D,0
339700,"I, Gladiator",2015,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie;RPG,Action;RPG;Indie,0
339710,Cyber Chicken,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Indie;Adventure,0
339720,Debugger 3.16: Hack'n'Run,2018,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie,Indie;Platformer;Action-Adventure,0
339790,rFactor,2015,Single-player;Multi-player;Steam Achievements;Stats,Racing;Simulation;Sports,Racing;Simulation;Sports,0
339800,HuniePop,2015,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Simulation;Strategy,Nudity;Mature;Anime,2741
339820,Starwalker,2014,Single-player;Steam Trading Cards,RPG;Early Access,Early Access;RPG,289
339840,The Moment of Silence,2015,Single-player;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0
339850,Overclocked: A History of Violence,2015,Single-player;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0
339910,Uncraft World,2015,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Turn Notifications;Includes level editor,Action;Indie;Early Access,Early Access;Anime;Nudity,0
340000,Headlander,2016,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action,Action;Sci-fi;Metroidvania,0
340030,Dungeon of gain,2016,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG,RPG;Indie;Rogue-like,272
340050,Survivalist,2015,Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG;Simulation;Strategy,Survival;Zombies;RPG,50
340070,Battle Ranch: Pigs vs Plants,2015,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Indie;Casual;Strategy,282
340120,Moorhuhn (Crazy Chicken),2015,Single-player;Steam Cloud;Stats,Action;Casual,Action;Casual;Classic,0
340130,Moorhuhn Invasion (Crazy Chicken Invasion),2015,Single-player;Steam Cloud;Stats,Action;Casual,Action;Casual,0
340140,Elemental World Part 1:Rise Of The Guardians,2017,Single-player;Online Multi-Player;MMO;Online Co-op;Steam Achievements;Steam Trading Cards,Action;Casual;Indie;Massively Multiplayer;RPG;Early Access,Early Access;RPG;Massively Multiplayer,0
340150,Basement,2015,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Management;Strategy,1388
340170,FINAL FANTASY TYPE-0™ HD,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;JRPG;Action,73
340190,Night Crisis,2019,Online Multi-Player;Online Co-op,Action;Simulation;Early Access,Early Access;Action;Simulation,0
340200,Bloop,2015,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,2
340210,Predestination,2019,Single-player,Indie;Strategy,Strategy;Indie;4X,0
340220,Shadows of War,2015,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Indie;2D,238
340250,Crystal Towers 2 XL,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats,Indie,Indie;Platformer,0
340270,TIMEframe,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie,Indie;Casual;Walking Simulator,0
340280,Cubot,2015,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Indie,Indie;Puzzle;Minimalist,0
340290,Dr.Green,2015,Single-player;Full controller support,Action;Indie,Indie;Action;Retro,0
340300,Teddy Floppy Ear - Mountain Adventure,2015,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Family Friendly;Casual;Adventure,306
340310,Teddy Floppy Ear - Kayaking,2015,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Casual;Family Friendly,271
340320,Sinless + OST,2015,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Adventure;Indie;RPG,218
340330,Deity Quest,2015,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG;Strategy,Adventure;Strategy;RPG,0
340340,Domestic Dog,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie;Simulation,Simulation;Indie;Casual,840
340350,Quintet,2015,Single-player;Multi-player;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Action;Free to Play;Indie,Free to Play;Indie;Action,9
340360,Tomb of Tyrants,2015,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Strategy,Indie;Strategy;Casual,0
340370,Shades of Black,2015,Single-player;Steam Achievements,Adventure;Casual,Adventure;Casual,0
340380,Pizzarian,2015,Single-player;Steam Achievements;Partial Controller Support;Stats,Action;Indie,Action;Indie,0
340400,Lucid Awakening 2,2015,Single-player;Partial Controller Support,Indie;RPG,RPG;Indie;RPGMaker,0
340410,SuperBike TT,2015,Single-player;Full controller support;VR Support,Racing;Sports;Early Access,Early Access;Racing;Sports,0
340440,Grand Class Melee 2,2018,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG;Strategy,Action;Indie;RPG,101
340450,Crashed Lander,2015,Single-player;Steam Trading Cards;VR Support;Partial Controller Support,Indie,Indie;Arcade;Physics,0
340460,Spartans Vs Zombies Defense,2015,Single-player;Steam Achievements,Action;Casual;Free to Play;Indie;Strategy,Free to Play;Indie;Casual,0
340470,You Are Not A Banana: Better Edition,2015,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie,Indie;Casual;Adventure,290
340480,Project Green Beat,2015,Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Action;Indie,0
340490,Subterrain,2016,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie,Survival;Indie;Top-Down,162
340500,The Warriorlock,2018,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Adventure;Casual;RPG;Strategy,Adventure;RPG;Strategy,0
340520,Tallowmere,2015,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Violent,420
340540,TDP4:Team Battle,2015,Single-player;Multi-player;Steam Achievements,Action;Adventure;Free to Play;Massively Multiplayer,Free to Play;Action;2D,36
340560,Wanted Corp.,2016,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action,Action;Online Co-Op;Local Co-Op,0
340570,WolfWars,2015,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Casual;Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,0
340580,Armed with Wings: Rearmed,2017,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Indie;Action;Hack and Slash,0
340600,The Depths of Tolagal,2015,Single-player,Indie;RPG;Strategy,Indie;RPG;Strategy,0
340630,Ninja Guy,2015,Single-player;Steam Achievements;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0
340680,Bunny Bash,2016,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,Action;Casual;Indie;Early Access,Early Access;Action;Indie,3
340700,Aqua Panic !,2015,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Casual;Indie,Indie;Casual;Puzzle,0
340720,The Tiny Tale 2,2015,Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Adventure;Casual;Indie;Strategy,Adventure;Casual;Strategy,0
340730,Sunrider Academy,2015,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Simulation,Nudity;Anime;Dating Sim,322
