Game,name,release,categories,genres,tags,playtime
582560,The Invisible Hours,2017,Single-player;Steam Achievements;Full controller support,Adventure;Casual,Adventure;Casual;VR,0
582580,Itineris,2017,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Casual;Indie;Adventure,247
582610,Z-End,2017,Single-player;Steam Achievements,Gore;Adventure;Indie,Adventure;Gore;Indie,0
582620,Copoka,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Casual;Indie,Casual;Indie;Atmospheric,220
582660,Black Desert Online,2017,Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Massively Multiplayer;MMORPG;Open World,15507
582830,SYNCH,2017,Single-player,Casual;Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,0
582840,20something,2017,Single-player,Indie;RPG,Indie;RPG;Text-Based,0
582890,Estranged: Act II,2017,Single-player;Full controller support,Action;Adventure;Casual;Indie;Early Access,Early Access;Adventure;Indie,191
582920,From Shadows,2017,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Indie;Action,0
582960,LIT,2017,Single-player;Full controller support;Steam Trading Cards,Indie;Strategy,Strategy;Indie;Puzzle,0
582980,Castle of Shikigami 式神の城,2017,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action,Action;Shoot 'Em Up;Bullet Hell,0
582990,Space Fist,2017,Single-player;Local Multi-Player;Steam Achievements,Action;Indie,Action;Indie;VR,18
583000,Fly Away,2017,Single-player,Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0
583010,VoiceAttack,2017,Partial Controller Support,Utilities,Utilities;Voice Control,0
583030,Eraser & Builder,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop,Casual;Indie,Indie;Casual,0
583040,Princess Maker Refine,2017,Single-player;Steam Achievements;Steam Trading Cards,Simulation,Simulation;Anime;Classic,0
583060,The Cavern,2017,Single-player,Action;Adventure;Casual;Indie;Strategy,Adventure;Indie;Action,0
583090,SeaBed,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Visual Novel;Female Protagonist;Indie,0
583150,KART CHASER : THE BOOST VR,2017,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Casual;Racing;Sports,Casual;Racing;Sports,0
583190,The Astonishing Game,2017,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer,Indie;Strategy,Indie;Strategy;Board Game,0
583240,Coffence,2018,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats,Action;Indie,Indie;Action;Controller,304
